make,model,image_capture_type,instance,owner,from_date,to_date
Canon,DIGITAL IXUS 500,Digital,,Others (Ian Connelly),,
Canon,DIGITAL IXUS 850 IS,Digital,1,Us,2015-03,2015-04
Canon,DIGITAL IXUS 850 IS,Digital,2,Others (Liz),2008-12,2011-09
Canon,EOS 1000D,Digital,,Dad,,
Canon,EOS 300D,Digital,,Dad,,
Canon,PowerShot A1200,Digital,,Us (Aidan),,
Canon,PowerShot A70,Digital,,Us,,
Canon,PowerShot SX170 IS,Digital,,Others (Lyrica),,
EASTMAN KODAK COMPANY,KODAK DX7630 ZOOM DIGITAL CAMERA,Digital,,Others (Chris),,
EU3C,Filmscan 35mm,Film,1,Dad,2008-01-01,
EU3C,Filmscan 35mm,Film,2,Mary,2008-01-01,
Film Scanner,Filmscan 35mm,Film,,Dad,,
FUJI PHOTO FILM,SP-1500,Film,,Dad,,
FUJIFILM,A850,Digital,,Us,,
FUJIFILM,FinePix AV100,Digital,,Us,,
FUJIFILM,FinePix S1,Digital,,Others (288 Group),,
FUJIFILM,FinePix S5600,Digital,,Others (Sally Banks),,
FUJIFILM,FinePix S8100fd,Digital,,Others (288 Group),,
FUJIFILM,FinePixS2Pro,Digital,,Others,,
Huawei,Nexus 6P,Digital,,Others (Powells),,
IMAGE,FS353N,Digital,,Mary,,
Kodak,CLAS Film Scanner / HR200,Digital,,Dad,,
LG Electronics,GT350,Digital,,Us,,
LG Electronics,LG-E430,Digital,,Us,,
motorola,moto g(7) play,Digital,,Us,,
motorola,moto g22,Digital,,Us,,
MOTOROLA,RAZR i,Digital,,Others,,
Motorola,XT1032,Digital,,Others (Liz),,
NIKON,D3300,Digital,,Us,,
Nokia,5800 Xpres,Digital,,Others (Liz?),,
Olympus,E-410,Digital,,Others,,
Panasonic,DMC-FZ5,Digital,,Mary,,
RICOH IMAGING,K-3,Digital,,Others (Piers),,
SAMSUNG,GT-I9100,Digital,,Others (Davy),,
samsung,SM-A528B,Digital,,Us,,
samsung,SM-A715F,Digital,,Others (Davy),,
SAMSUNG,SM-G357FZ,Digital,,Us,,
samsung,SM-J320FN,Digital,,Us,,
samsung,SM-J500FN,Digital,,Us,,
SAMSUNG TECHWIN,Samsung S850,Digital,,Others (ERS),,
SONY,DSC-W510,Digital,,Others,,
Sony Ericsson,W890i,Digital,,Others,,
STK,STK One Max,Digital,,Us,,
ZTE,San Francisco II,Digital,,Others,,
